,id_municipio,populacao_urbana_2013,indice_sem_atend,indice_atend_solucao_ind,indice_atend_col_sem_trat,indice_atend_col_trat,sigla_uf,pop_sem_atend,pop_atend_solucao_ind,pop_atend_col_sem_trat,pop_atend_col_trat
275,1507508,2638,59.4,38.8,1.8,0.0,PA,1567.0,1024.0,47.0,0.0
276,1507607,33646,89.1,9.8,1.1,0.0,PA,29979.0,3297.0,370.0,0.0
277,1507706,10533,93.4,5.2,1.3,0.0,PA,9838.0,548.0,137.0,0.0
278,1507755,3554,96.2,0.4,3.5,0.0,PA,3419.0,14.0,124.0,0.0
279,1507805,6116,88.8,10.1,1.2,0.0,PA,5431.0,618.0,73.0,0.0
280,1507904,21801,31.9,67.2,0.9,0.0,PA,6955.0,14650.0,196.0,0.0
281,1507953,67046,94.6,3.9,1.5,0.0,PA,63426.0,2615.0,1006.0,0.0
282,1507961,4571,99.0,0.6,0.5,0.0,PA,4525.0,27.0,23.0,0.0
283,1507979,10740,84.4,14.5,1.0,0.0,PA,9065.0,1557.0,107.0,0.0
284,1508001,33012,95.4,2.8,1.9,0.0,PA,31493.0,924.0,627.0,0.0
285,1508035,7605,98.5,1.0,0.5,0.0,PA,7491.0,76.0,38.0,0.0
286,1508050,5947,98.6,1.3,0.0,0.0,PA,5864.0,77.0,0.0,0.0
